ticker,when,weight,date,security_name,exchange,updated_at
ELVT,null,1,2023-05-01,null,null,2023-03-02T22:14:22
PTRS,postmarket,3,2023-05-01,Partners Bancorp - Common Stock,NASDAQ,2023-05-14T13:14:24
AHT,premarket,3,2023-05-01,Ashford Hospitality Trust Inc Common Stock,NYSE,2023-05-09T23:14:01
KCLI,null,1,2023-05-01,KANSAS CITY LIFE INS NEW,OTC,2023-05-07T06:14:00
RVIC,null,1,2023-05-01,null,null,2023-04-06T05:15:48
AIRC,postmarket,3,2023-05-01,Apartment Income REIT Corp. Common Stock,NYSE,2023-05-09T23:14:00
RETO,null,1,2023-05-01,"ReTo Eco-Solutions, Inc. - Common Shares",NASDAQ,2023-04-04T10:14:36
DXF,null,1,2023-05-01,Dunxin Financial Holdings Limited American Depositary Shares,AMEX,2023-04-04T10:14:36
MDGS,null,1,2023-05-01,Medigus Ltd. - American Depositary Shares,NASDAQ,2023-04-04T10:14:36
OCG,null,1,2023-05-01,Oriental Culture Holding LTD - Ordinary Shares,NASDAQ,2023-04-04T10:14:36
JCSE,null,1,2023-05-01,JE Cleantech Holdings Limited - Ordinary Shares,NASDAQ,2023-04-04T10:14:36
AMBO,null,1,2023-05-01,"Ambow Education Holding Ltd. American Depository Shares, each representing two Class A ordinary shares",AMEX,2023-04-04T10:14:37
EPOW,null,1,2023-05-01,"Sunrise New Energy Co., Ltd - Ordinary Shares",NASDAQ,2023-04-04T10:14:37
AKAN,null,1,2023-05-01,Akanda Corp. - Common Shares,NASDAQ,2023-04-04T10:14:37
RYI,postmarket,3,2023-05-01,Ryerson Holding Corporation Common Stock,NYSE,2023-05-09T03:13:59
CSR,postmarket,3,2023-05-01,D/B/A Centerspace Common Stock,NYSE,2023-05-09T03:13:59
SBT,premarket,3,2023-05-01,"Sterling Bancorp, Inc. - Common Stock",NASDAQ,2023-05-09T03:13:59
LEG,postmarket,3,2023-05-01,"Leggett & Platt, Incorporated Common Stock",NYSE,2023-05-09T03:13:59
RIG,postmarket,3,2023-05-01,Transocean Ltd (Switzerland) Common Stock,NYSE,2023-05-09T03:13:59
PML,null,1,2023-05-01,Pimco Municipal Income Fund II Common Shares of Beneficial Interest,NYSE,2023-05-09T03:13:59
VSEC,postmarket,3,2023-05-01,VSE Corporation - Common Stock,NASDAQ,2023-05-09T03:13:59
AL_PA,null,1,2023-05-01,null,null,2023-05-09T03:13:59
MGM,postmarket,3,2023-05-01,MGM Resorts International Common Stock,NYSE,2023-05-09T03:13:59
FRBK,premarket,3,2023-05-01,"Republic First Bancorp, Inc. - Common Stock",NASDAQ,2023-05-09T03:13:59
SOFI,premarket,3,2023-05-01,"SoFi Technologies, Inc.  - Common Stock",NASDAQ,2023-05-09T03:13:59
SCI,postmarket,3,2023-05-01,Service Corporation International Common Stock,NYSE,2023-05-09T03:13:59
PK,premarket,3,2023-05-01,Park Hotels & Resorts Inc. Common Stock ,NYSE,2023-05-09T03:13:59
SMBC,postmarket,3,2023-05-01,"Southern Missouri Bancorp, Inc. - Common Stock",NASDAQ,2023-05-09T03:13:59
PLOW,postmarket,2,2023-05-01,"Douglas Dynamics, Inc. Common Stock",NYSE,2023-05-09T03:13:59
BRX,postmarket,3,2023-05-01,Brixmor Property Group Inc. Common Stock,NYSE,2023-05-09T03:13:59
TEX,postmarket,3,2023-05-01,Terex Corporation Common Stock,NYSE,2023-05-09T03:13:59
GBNXF,postmarket,1,2023-05-01,null,null,2023-05-09T03:13:59
DAWN,premarket,3,2023-05-01,"Day One Biopharmaceuticals, Inc. - Common Stock",NASDAQ,2023-05-09T03:13:59
GPHBF,postmarket,1,2023-05-01,G6 MATERIALS CORP,OTC,2023-05-09T03:13:59
MVLY,premarket,1,2023-05-01,MISSION VALLEY BANCORP,OTC,2023-05-09T03:13:59
NCLH,premarket,3,2023-05-01,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,NYSE,2023-05-09T03:13:59
NSA,postmarket,3,2023-05-01,National Storage Affiliates Trust Common Shares of Beneficial Interest,NYSE,2023-05-09T03:13:59
BSM,postmarket,3,2023-05-01,"Black Stone Minerals, L.P. Common units representing limited partner interests",NYSE,2023-05-09T03:13:59
CHGG,postmarket,3,2023-05-01,"Chegg, Inc. Common Stock",NYSE,2023-05-09T03:13:59
ADUS,postmarket,3,2023-05-01,Addus HomeCare Corporation - Common Stock,NASDAQ,2023-05-09T03:13:59
FLXS,postmarket,3,2023-05-01,"Flexsteel Industries, Inc. - Common Stock",NASDAQ,2023-05-09T03:13:59
CACC,postmarket,3,2023-05-01,Credit Acceptance Corporation - Common Stock,NASDAQ,2023-05-09T03:13:59
NXPI,postmarket,3,2023-05-01,NXP Semiconductors N.V. - Common Stock,NASDAQ,2023-05-09T03:13:59
INST,postmarket,3,2023-05-01,"Instructure Holdings, Inc. Common Stock",NYSE,2023-05-09T03:13:59
SILC,premarket,3,2023-05-01,Silicom Ltd - Ordinary Shares,NASDAQ,2023-05-09T03:13:59
AL,postmarket,3,2023-05-01,Air Lease Corporation Class A Common Stock,NYSE,2023-05-09T03:13:59
ZI,postmarket,3,2023-05-01,ZoomInfo Technologies Inc. - Common Stock,NASDAQ,2023-05-09T03:13:59
VICI,postmarket,3,2023-05-01,VICI Properties Inc. Common Stock,NYSE,2023-05-09T03:13:59
KMT,postmarket,3,2023-05-01,Kennametal Inc. Common Stock,NYSE,2023-05-09T03:13:59
QNTO,postmarket,1,2023-05-01,QUAINT OAK BANCORP INC,OTC,2023-05-09T03:13:59
